bin,freq_hz,abs_h,training_noise,mean_abs_llr
808,4734.375,2.478356165821192,2.2031544616944507,1.8541070418733163
809,4740.234375,0.9421779277132679,1.1224164323702495,1.337660761598053
810,4746.09375,1.6785101299235605,1.7068676369062004,1.7357033192392668
811,4751.953125,3.7962572610852345,2.22409240105815,2.465908458931961
812,4757.8125,1.953340092679432,1.6545542939781295,1.6631803267685834
813,4763.671875,2.8700242958327813,2.6159260578125876,3.0234353820548083
814,4769.53125,5.0473308368419305,3.948548802769917,4.016653051367362
815,4775.390625,3.318820561127734,2.9059478502269376,3.5605728331792132
816,4781.25,3.4940478541740587,3.250905204247897,3.2856824246931193
817,4787.109375,5.013594642286071,6.069748856079203,4.557859647177973
